id,breed
trapezoid-1344,trapezoid
hexagon-1144,hexagon
pentagon-602,pentagon
star-3175,star
cross-1999,cross
trapezoid-286,trapezoid
rectangle-695,rectangle
triangle-1161,triangle
star-1968,star
trapezoid-4460,trapezoid
pentagon-2312,pentagon
rectangle-4584,rectangle
trapezoid-4569,trapezoid
hexagon-348,hexagon
quarter_circle-755,quarter_circle
square-4396,square
square-5401,square
octagon-377,octagon
rectangle-773,rectangle
triangle-3209,triangle
octagon-2570,octagon
star-3297,star
rectangle-949,rectangle
triangle-4012,triangle
octagon-4488,octagon
circle-2019,circle
octagon-335,octagon
rectangle-40,rectangle
star-1883,star
semi_circle-3792,semi_circle
semi_circle-3909,semi_circle
rectangle-2392,rectangle
star-1843,star
semi_circle-4569,semi_circle
trapezoid-4474,trapezoid
star-2447,star
square-1657,square
rectangle-1768,rectangle
pentagon-122,pentagon
pentagon-1039,pentagon
octagon-1636,octagon
octagon-2559,octagon
octagon-840,octagon
semi_circle-2728,semi_circle
semi_circle-1521,semi_circle
hexagon-1158,hexagon
star-115,star
triangle-2452,triangle
square-2590,square
square-3548,square
square-5635,square
trapezoid-3319,trapezoid
star-3032,star
star-3628,star
rectangle-3705,rectangle
triangle-2331,triangle
heptagon-549,heptagon
pentagon-2533,pentagon
trapezoid-1010,trapezoid
square-4764,square
semi_circle-3613,semi_circle
rectangle-959,rectangle
star-708,star
semi_circle-2975,semi_circle
star-2112,star
triangle-1341,triangle
octagon-3807,octagon
semi_circle-1072,semi_circle
rectangle-3377,rectangle
square-1176,square
octagon-2350,octagon
rectangle-3690,rectangle
octagon-4596,octagon
quarter_circle-351,quarter_circle
heptagon-1196,heptagon
semi_circle-2515,semi_circle
rectangle-2508,rectangle
triangle-2843,triangle
semi_circle-2887,semi_circle
pentagon-4919,pentagon
circle-519,circle
cross-1156,cross
trapezoid-1333,trapezoid
circle-2081,circle
semi_circle-1636,semi_circle
rectangle-1133,rectangle
semi_circle-3670,semi_circle
square-3814,square
cross-690,cross
rectangle-746,rectangle
square-4864,square
octagon-550,octagon
semi_circle-1518,semi_circle
semi_circle-166,semi_circle
semi_circle-3212,semi_circle
triangle-3889,triangle
octagon-2121,octagon
rectangle-386,rectangle
trapezoid-4132,trapezoid
rectangle-1128,rectangle
trapezoid-4007,trapezoid
octagon-4640,octagon
circle-2042,circle
pentagon-3884,pentagon
square-3915,square
rectangle-842,rectangle
star-2301,star
trapezoid-854,trapezoid
pentagon-2584,pentagon
star-1372,star
trapezoid-4202,trapezoid
trapezoid-4596,trapezoid
semi_circle-2643,semi_circle
rectangle-4291,rectangle
rectangle-3398,rectangle
rectangle-1838,rectangle
star-3815,star
semi_circle-1531,semi_circle
trapezoid-2592,trapezoid
star-2174,star
square-3081,square
rectangle-4332,rectangle
square-3418,square
semi_circle-3067,semi_circle
square-2868,square
octagon-1917,octagon
octagon-675,octagon
trapezoid-297,trapezoid
semi_circle-3699,semi_circle
square-4592,square
trapezoid-3745,trapezoid
square-4369,square
square-657,square
square-3926,square
triangle-3375,triangle
rectangle-3812,rectangle
rectangle-1441,rectangle
trapezoid-2436,trapezoid
triangle-3220,triangle
triangle-4077,triangle
star-2821,star
square-1650,square
octagon-657,octagon
rectangle-2304,rectangle
circle-1463,circle
square-2547,square
hexagon-459,hexagon
triangle-4302,triangle
cross-1289,cross
triangle-1807,triangle
semi_circle-3109,semi_circle
hexagon-347,hexagon
semi_circle-959,semi_circle
quarter_circle-613,quarter_circle
star-2183,star
trapezoid-2522,trapezoid
triangle-4014,triangle
rectangle-3445,rectangle
hexagon-65,hexagon
trapezoid-3823,trapezoid
star-895,star
square-5294,square
rectangle-4085,rectangle
cross-1830,cross
rectangle-1733,rectangle
octagon-4146,octagon
semi_circle-2469,semi_circle
octagon-4856,octagon
square-31,square
hexagon-524,hexagon
triangle-2730,triangle
rectangle-3944,rectangle
triangle-3155,triangle
semi_circle-3743,semi_circle
pentagon-2968,pentagon
circle-823,circle
pentagon-1474,pentagon
star-200,star
hexagon-197,hexagon
semi_circle-937,semi_circle
octagon-4913,octagon
star-1830,star
pentagon-1932,pentagon
pentagon-4528,pentagon
rectangle-836,rectangle
square-536,square
star-324,star
trapezoid-2776,trapezoid
rectangle-3317,rectangle
pentagon-2552,pentagon
trapezoid-410,trapezoid
octagon-979,octagon
semi_circle-1436,semi_circle
rectangle-95,rectangle
star-1518,star
cross-1544,cross
rectangle-2175,rectangle
quarter_circle-660,quarter_circle
octagon-1085,octagon
pentagon-4825,pentagon
triangle-1331,triangle
triangle-347,triangle
quarter_circle-643,quarter_circle
semi_circle-4021,semi_circle
square-691,square
triangle-4362,triangle
trapezoid-952,trapezoid
rectangle-3820,rectangle
semi_circle-2781,semi_circle
rectangle-3517,rectangle
square-1869,square
hexagon-871,hexagon
triangle-628,triangle
pentagon-5114,pentagon
square-6484,square
star-3558,star
square-5335,square
trapezoid-2589,trapezoid
octagon-3248,octagon
octagon-1593,octagon
triangle-3147,triangle
octagon-3413,octagon
trapezoid-1825,trapezoid
square-5301,square
hexagon-165,hexagon
octagon-3865,octagon
rectangle-3085,rectangle
cross-1283,cross
star-1957,star
trapezoid-60,trapezoid
rectangle-3364,rectangle
rectangle-1497,rectangle
hexagon-1261,hexagon
octagon-1077,octagon
semi_circle-2341,semi_circle
octagon-3646,octagon
pentagon-4010,pentagon
octagon-4402,octagon
octagon-643,octagon
trapezoid-4057,trapezoid
star-3188,star
rectangle-1873,rectangle
triangle-3171,triangle
octagon-3450,octagon
square-1813,square
circle-360,circle
star-1873,star
semi_circle-1974,semi_circle
octagon-1673,octagon
triangle-2769,triangle
square-3662,square
pentagon-1245,pentagon
square-3353,square
square-5238,square
cross-1780,cross
semi_circle-2772,semi_circle
hexagon-804,hexagon
trapezoid-1329,trapezoid
trapezoid-649,trapezoid
triangle-3497,triangle
quarter_circle-202,quarter_circle
quarter_circle-125,quarter_circle
octagon-1885,octagon
rectangle-1220,rectangle
triangle-968,triangle
triangle-3435,triangle
circle-598,circle
triangle-4154,triangle
rectangle-3511,rectangle
pentagon-2210,pentagon
star-2609,star
heptagon-416,heptagon
star-2452,star
octagon-52,octagon
pentagon-261,pentagon
octagon-4172,octagon
square-1258,square
star-377,star
semi_circle-1997,semi_circle
octagon-2497,octagon
rectangle-1227,rectangle
pentagon-805,pentagon
trapezoid-3844,trapezoid
square-5033,square
star-658,star
trapezoid-756,trapezoid
cross-1241,cross
pentagon-1387,pentagon
square-2643,square
square-4950,square
rectangle-974,rectangle
semi_circle-3367,semi_circle
star-1534,star
circle-679,circle
star-2641,star
semi_circle-3482,semi_circle
pentagon-4986,pentagon
hexagon-181,hexagon
semi_circle-4529,semi_circle
cross-1065,cross
trapezoid-552,trapezoid
rectangle-4837,rectangle
star-3230,star
trapezoid-4442,trapezoid
octagon-3730,octagon
semi_circle-2083,semi_circle
octagon-784,octagon
star-3338,star
semi_circle-1822,semi_circle
square-1741,square
pentagon-5000,pentagon
rectangle-2299,rectangle
trapezoid-1012,trapezoid
quarter_circle-652,quarter_circle
octagon-4696,octagon
trapezoid-1624,trapezoid
rectangle-1431,rectangle
cross-1624,cross
trapezoid-3981,trapezoid
cross-311,cross
star-3033,star
trapezoid-2648,trapezoid
pentagon-2216,pentagon
trapezoid-737,trapezoid
star-938,star
star-3569,star
star-1070,star
square-3146,square
semi_circle-3714,semi_circle
pentagon-4945,pentagon
square-1132,square
rectangle-575,rectangle
rectangle-3168,rectangle
cross-1578,cross
rectangle-905,rectangle
star-2016,star
circle-1424,circle
pentagon-3795,pentagon
quarter_circle-44,quarter_circle
triangle-1996,triangle
triangle-3366,triangle
octagon-4357,octagon
square-2812,square
rectangle-4885,rectangle
star-3000,star
square-1590,square
star-885,star
square-5737,square
rectangle-5083,rectangle
circle-2029,circle
semi_circle-384,semi_circle
semi_circle-2435,semi_circle
octagon-3175,octagon
semi_circle-2189,semi_circle
octagon-4585,octagon
rectangle-86,rectangle
cross-1279,cross
triangle-2970,triangle
square-546,square
semi_circle-4175,semi_circle
trapezoid-3716,trapezoid
semi_circle-2906,semi_circle
heptagon-982,heptagon
octagon-3440,octagon
trapezoid-2904,trapezoid
star-2817,star
trapezoid-2143,trapezoid
star-595,star
octagon-830,octagon
circle-799,circle
heptagon-1276,heptagon
pentagon-3980,pentagon
square-2230,square
semi_circle-1948,semi_circle
trapezoid-2368,trapezoid
triangle-3748,triangle
cross-260,cross
rectangle-1418,rectangle
trapezoid-2852,trapezoid
heptagon-170,heptagon
octagon-1013,octagon
octagon-2770,octagon
cross-826,cross
rectangle-61,rectangle
heptagon-21,heptagon
hexagon-890,hexagon
rectangle-3870,rectangle
square-6660,square
trapezoid-2069,trapezoid
octagon-871,octagon
star-309,star
octagon-3722,octagon
triangle-2485,triangle
rectangle-892,rectangle
square-773,square
star-2763,star
triangle-3310,triangle
semi_circle-3403,semi_circle
semi_circle-3713,semi_circle
star-3681,star
octagon-715,octagon
square-24,square
trapezoid-2799,trapezoid
triangle-2181,triangle
pentagon-2895,pentagon
trapezoid-4197,trapezoid
square-2168,square
triangle-3865,triangle
rectangle-4715,rectangle
square-545,square
semi_circle-4640,semi_circle
semi_circle-3569,semi_circle
octagon-476,octagon
cross-196,cross
pentagon-4340,pentagon
quarter_circle-814,quarter_circle
square-4191,square
triangle-1060,triangle
star-2619,star
star-3857,star
rectangle-1370,rectangle
rectangle-38,rectangle
square-6579,square
rectangle-1729,rectangle
trapezoid-2489,trapezoid
semi_circle-4468,semi_circle
semi_circle-2981,semi_circle
semi_circle-53,semi_circle
square-956,square
rectangle-1102,rectangle
pentagon-2190,pentagon
square-855,square
heptagon-773,heptagon
trapezoid-191,trapezoid
circle-187,circle
square-2171,square
heptagon-1038,heptagon
semi_circle-3196,semi_circle
rectangle-2798,rectangle
triangle-2643,triangle
star-3296,star
star-3599,star
semi_circle-1905,semi_circle
star-1032,star
star-3053,star
pentagon-1414,pentagon
circle-1737,circle
cross-1272,cross
cross-1465,cross
cross-954,cross
pentagon-3689,pentagon
square-4160,square
octagon-3194,octagon
heptagon-550,heptagon
pentagon-4079,pentagon
triangle-243,triangle
octagon-4485,octagon
trapezoid-3135,trapezoid
octagon-305,octagon
semi_circle-195,semi_circle
rectangle-50,rectangle
star-747,star
trapezoid-1863,trapezoid
rectangle-3848,rectangle
trapezoid-2263,trapezoid
square-3341,square
rectangle-833,rectangle
square-1331,square
pentagon-1831,pentagon
triangle-4147,triangle
trapezoid-1017,trapezoid
circle-1393,circle
pentagon-1287,pentagon
semi_circle-3133,semi_circle
heptagon-131,heptagon
heptagon-810,heptagon
hexagon-671,hexagon
square-4029,square
square-5792,square
trapezoid-3618,trapezoid
square-6724,square
semi_circle-3245,semi_circle
rectangle-3828,rectangle
pentagon-5112,pentagon
semi_circle-4102,semi_circle
pentagon-2050,pentagon
trapezoid-2001,trapezoid
semi_circle-1758,semi_circle
semi_circle-4800,semi_circle
square-5793,square
rectangle-2658,rectangle
star-744,star
square-6664,square
semi_circle-2425,semi_circle
cross-1103,cross
trapezoid-3763,trapezoid
semi_circle-2723,semi_circle
octagon-4478,octagon
square-1681,square
square-3097,square
circle-1289,circle
pentagon-4702,pentagon
octagon-1306,octagon
star-1577,star
hexagon-1493,hexagon
semi_circle-1515,semi_circle
rectangle-5096,rectangle
triangle-2386,triangle
rectangle-2242,rectangle
rectangle-1529,rectangle
star-3151,star
square-4182,square
rectangle-5081,rectangle
octagon-3847,octagon
octagon-3036,octagon
rectangle-4748,rectangle
pentagon-3216,pentagon
trapezoid-2579,trapezoid
cross-687,cross
pentagon-1644,pentagon
quarter_circle-420,quarter_circle
triangle-2344,triangle
triangle-2832,triangle
pentagon-4522,pentagon
trapezoid-1089,trapezoid
pentagon-5241,pentagon
star-3062,star
star-2576,star
pentagon-4426,pentagon
octagon-4501,octagon
square-1036,square
rectangle-3206,rectangle
hexagon-510,hexagon
triangle-2737,triangle
rectangle-934,rectangle
star-3722,star
circle-119,circle
hexagon-1215,hexagon
rectangle-3643,rectangle
square-6708,square
trapezoid-867,trapezoid
trapezoid-3397,trapezoid
semi_circle-4431,semi_circle
pentagon-74,pentagon
quarter_circle-495,quarter_circle
quarter_circle-242,quarter_circle
rectangle-3211,rectangle
octagon-3975,octagon
octagon-2435,octagon
triangle-429,triangle
cross-991,cross
octagon-2828,octagon
octagon-1985,octagon
triangle-1414,triangle
star-3587,star
trapezoid-4182,trapezoid
octagon-3180,octagon
triangle-1584,triangle
hexagon-1330,hexagon
semi_circle-3314,semi_circle
pentagon-2266,pentagon
hexagon-939,hexagon
cross-1593,cross
square-3854,square
pentagon-4692,pentagon
rectangle-3325,rectangle
trapezoid-3304,trapezoid
circle-100,circle
quarter_circle-127,quarter_circle
pentagon-3988,pentagon
pentagon-2595,pentagon
rectangle-245,rectangle
octagon-1107,octagon
square-3457,square
cross-1893,cross
trapezoid-2595,trapezoid
square-4986,square
octagon-3237,octagon
trapezoid-1064,trapezoid
octagon-1463,octagon
semi_circle-4080,semi_circle
trapezoid-1818,trapezoid
triangle-1109,triangle
triangle-3669,triangle
hexagon-536,hexagon
triangle-3159,triangle
octagon-2214,octagon
octagon-2540,octagon
circle-388,circle
trapezoid-791,trapezoid
triangle-4289,triangle
semi_circle-3434,semi_circle
rectangle-3296,rectangle
triangle-1278,triangle
rectangle-1860,rectangle
semi_circle-4258,semi_circle
square-1137,square
triangle-3065,triangle
semi_circle-4250,semi_circle
trapezoid-3587,trapezoid
trapezoid-3706,trapezoid
octagon-2846,octagon
semi_circle-2223,semi_circle
semi_circle-725,semi_circle
triangle-53,triangle
semi_circle-1312,semi_circle
hexagon-997,hexagon
octagon-2277,octagon
trapezoid-1948,trapezoid
square-1332,square
star-448,star
square-3969,square
rectangle-260,rectangle
trapezoid-4444,trapezoid
pentagon-3668,pentagon
trapezoid-1343,trapezoid
pentagon-1566,pentagon
circle-1909,circle
rectangle-1214,rectangle
semi_circle-174,semi_circle
heptagon-1297,heptagon
octagon-1850,octagon
semi_circle-2694,semi_circle
semi_circle-604,semi_circle
semi_circle-495,semi_circle
triangle-2393,triangle
square-906,square
square-5611,square
rectangle-2379,rectangle
semi_circle-390,semi_circle
octagon-1905,octagon
semi_circle-2417,semi_circle
square-784,square
square-3234,square
star-3190,star
semi_circle-3876,semi_circle
quarter_circle-806,quarter_circle
trapezoid-4293,trapezoid
square-888,square
star-3123,star
star-1744,star
pentagon-1883,pentagon
circle-688,circle
star-1134,star
octagon-2569,octagon
circle-1903,circle
star-1324,star
cross-2051,cross
octagon-2616,octagon
square-297,square
square-5576,square
square-3722,square
pentagon-2352,pentagon
square-3752,square
triangle-360,triangle
cross-1976,cross
star-3694,star
trapezoid-1473,trapezoid
square-3918,square
trapezoid-561,trapezoid
trapezoid-1969,trapezoid
square-6249,square
semi_circle-864,semi_circle
triangle-1390,triangle
trapezoid-2937,trapezoid
octagon-3662,octagon
semi_circle-3831,semi_circle
octagon-1704,octagon
triangle-2400,triangle
trapezoid-3143,trapezoid
trapezoid-1730,trapezoid
semi_circle-3286,semi_circle
trapezoid-1312,trapezoid
square-2617,square
semi_circle-1651,semi_circle
trapezoid-3118,trapezoid
square-3409,square
star-2900,star
semi_circle-4682,semi_circle
semi_circle-2963,semi_circle
triangle-1866,triangle
semi_circle-4314,semi_circle
rectangle-964,rectangle
triangle-4083,triangle
octagon-2960,octagon
hexagon-736,hexagon
square-1124,square
rectangle-1943,rectangle
hexagon-1274,hexagon
star-1478,star
cross-1275,cross
quarter_circle-875,quarter_circle
cross-844,cross
heptagon-837,heptagon
square-2961,square
square-1910,square
quarter_circle-397,quarter_circle
circle-2152,circle
pentagon-2747,pentagon
semi_circle-2096,semi_circle
trapezoid-3970,trapezoid
octagon-1006,octagon
pentagon-1677,pentagon
rectangle-768,rectangle
triangle-272,triangle
octagon-932,octagon
pentagon-3974,pentagon
heptagon-125,heptagon
pentagon-3012,pentagon
square-5626,square
hexagon-600,hexagon
octagon-1280,octagon
rectangle-2548,rectangle
octagon-1461,octagon
square-4844,square
square-5257,square
square-5060,square
trapezoid-3870,trapezoid
triangle-4261,triangle
square-971,square
star-1236,star
semi_circle-1625,semi_circle
square-3603,square
star-2124,star
octagon-3196,octagon
rectangle-3301,rectangle
triangle-584,triangle
hexagon-1238,hexagon
triangle-3887,triangle
heptagon-347,heptagon
pentagon-2935,pentagon
rectangle-2431,rectangle
triangle-289,triangle
semi_circle-2160,semi_circle
pentagon-4368,pentagon
star-3778,star
trapezoid-2371,trapezoid
cross-689,cross
hexagon-896,hexagon
trapezoid-3578,trapezoid
triangle-2746,triangle
octagon-3367,octagon
octagon-4332,octagon
triangle-330,triangle
rectangle-1242,rectangle
pentagon-2458,pentagon
pentagon-1971,pentagon
triangle-571,triangle
triangle-2348,triangle
circle-932,circle
square-5027,square
square-6141,square
pentagon-590,pentagon
trapezoid-3717,trapezoid
cross-1110,cross
rectangle-3994,rectangle
square-1005,square
star-1416,star
rectangle-673,rectangle
triangle-1934,triangle
semi_circle-3687,semi_circle
triangle-1006,triangle
pentagon-5208,pentagon
triangle-4260,triangle
rectangle-995,rectangle
semi_circle-4094,semi_circle
rectangle-4162,rectangle
rectangle-2959,rectangle
trapezoid-2912,trapezoid
hexagon-747,hexagon
pentagon-5227,pentagon
hexagon-954,hexagon
pentagon-1546,pentagon
trapezoid-1536,trapezoid
circle-85,circle
square-4871,square
trapezoid-2545,trapezoid
octagon-4921,octagon
square-613,square
hexagon-42,hexagon
octagon-2773,octagon
triangle-1529,triangle
triangle-778,triangle
star-551,star
square-160,square
trapezoid-2851,trapezoid
semi_circle-412,semi_circle
trapezoid-3335,trapezoid
semi_circle-1268,semi_circle
cross-732,cross
square-1344,square
pentagon-3989,pentagon
square-1235,square
triangle-636,triangle
star-3498,star
pentagon-2518,pentagon
trapezoid-122,trapezoid
semi_circle-1907,semi_circle
semi_circle-3590,semi_circle
rectangle-262,rectangle
rectangle-3191,rectangle
quarter_circle-223,quarter_circle
trapezoid-1711,trapezoid
square-907,square
pentagon-4572,pentagon
square-1817,square
pentagon-4775,pentagon
trapezoid-4239,trapezoid
square-5832,square
trapezoid-2790,trapezoid
octagon-3414,octagon
trapezoid-441,trapezoid
cross-270,cross
pentagon-2185,pentagon
octagon-376,octagon
octagon-3781,octagon
star-2388,star
square-1515,square
square-4360,square
heptagon-263,heptagon
trapezoid-2903,trapezoid
square-216,square
octagon-3737,octagon
rectangle-1157,rectangle
square-3147,square
semi_circle-1195,semi_circle
pentagon-1444,pentagon
triangle-1350,triangle
triangle-3092,triangle
rectangle-455,rectangle
square-4603,square
pentagon-2471,pentagon
pentagon-1404,pentagon
semi_circle-1868,semi_circle
quarter_circle-246,quarter_circle
triangle-542,triangle
semi_circle-1878,semi_circle
rectangle-301,rectangle
octagon-4138,octagon
triangle-3090,triangle
circle-808,circle
trapezoid-4098,trapezoid
rectangle-3642,rectangle
pentagon-4642,pentagon
square-2899,square
rectangle-2338,rectangle
heptagon-1338,heptagon
pentagon-2754,pentagon
square-5204,square
pentagon-2052,pentagon
trapezoid-750,trapezoid
hexagon-1036,hexagon
square-3551,square
star-2645,star
circle-1857,circle
triangle-2501,triangle
square-2353,square
rectangle-4069,rectangle
semi_circle-4313,semi_circle
triangle-1718,triangle
rectangle-2073,rectangle
rectangle-4424,rectangle
circle-2003,circle
cross-640,cross
rectangle-822,rectangle
star-2807,star
star-684,star
star-3302,star
triangle-592,triangle
trapezoid-2714,trapezoid
semi_circle-4666,semi_circle
circle-1862,circle
trapezoid-1281,trapezoid
trapezoid-1441,trapezoid
octagon-3119,octagon
octagon-3476,octagon
semi_circle-3015,semi_circle
pentagon-1382,pentagon
cross-1358,cross
pentagon-259,pentagon
heptagon-1543,heptagon
rectangle-1872,rectangle
octagon-2711,octagon
square-2720,square
star-2013,star
triangle-1445,triangle
triangle-250,triangle
octagon-3133,octagon
square-2553,square
square-4647,square
semi_circle-439,semi_circle
circle-1274,circle
trapezoid-2175,trapezoid
pentagon-4645,pentagon
pentagon-3842,pentagon
square-3896,square
hexagon-573,hexagon
semi_circle-2630,semi_circle
rectangle-1996,rectangle
semi_circle-1992,semi_circle
circle-817,circle
pentagon-4093,pentagon
pentagon-5165,pentagon
star-728,star
quarter_circle-451,quarter_circle
square-2001,square
pentagon-1344,pentagon
octagon-1717,octagon
cross-610,cross
octagon-2194,octagon
square-2010,square
trapezoid-2927,trapezoid
rectangle-300,rectangle
square-3899,square
rectangle-1998,rectangle
trapezoid-4522,trapezoid
triangle-762,triangle
star-2064,star
trapezoid-181,trapezoid
pentagon-2265,pentagon
cross-695,cross
trapezoid-1066,trapezoid
square-3083,square
rectangle-1002,rectangle
square-533,square
star-3359,star
pentagon-3671,pentagon
rectangle-2980,rectangle
cross-703,cross
cross-537,cross
square-2214,square
square-4116,square
square-846,square
triangle-3370,triangle
rectangle-4898,rectangle
pentagon-61,pentagon
cross-259,cross
star-2855,star
hexagon-1252,hexagon
octagon-2530,octagon
circle-621,circle
rectangle-971,rectangle
triangle-2866,triangle
pentagon-4871,pentagon
rectangle-2832,rectangle
semi_circle-831,semi_circle
semi_circle-206,semi_circle
trapezoid-807,trapezoid
pentagon-2660,pentagon
trapezoid-3623,trapezoid
square-3219,square
semi_circle-3519,semi_circle
trapezoid-3468,trapezoid
trapezoid-2032,trapezoid
circle-1951,circle
square-4161,square
circle-1205,circle
circle-1293,circle
semi_circle-2687,semi_circle
heptagon-317,heptagon
pentagon-3466,pentagon
pentagon-0,pentagon
rectangle-4760,rectangle
rectangle-1408,rectangle
trapezoid-1457,trapezoid
rectangle-4053,rectangle
square-6242,square
hexagon-1088,hexagon
square-6453,square
pentagon-2644,pentagon
trapezoid-2639,trapezoid
triangle-1012,triangle
semi_circle-922,semi_circle
triangle-2204,triangle
pentagon-4708,pentagon
pentagon-4071,pentagon
rectangle-1532,rectangle
triangle-2340,triangle
quarter_circle-831,quarter_circle
star-679,star
heptagon-1412,heptagon
square-3732,square
trapezoid-1024,trapezoid
rectangle-3823,rectangle
square-6260,square
rectangle-4172,rectangle
triangle-748,triangle
rectangle-4768,rectangle
semi_circle-1513,semi_circle
octagon-495,octagon
semi_circle-2258,semi_circle
hexagon-860,hexagon
circle-810,circle
quarter_circle-785,quarter_circle
pentagon-3923,pentagon
semi_circle-1270,semi_circle
octagon-349,octagon
octagon-3315,octagon
pentagon-353,pentagon
hexagon-545,hexagon
square-2035,square
triangle-138,triangle
cross-1909,cross
star-1517,star
pentagon-2149,pentagon
semi_circle-3680,semi_circle
rectangle-220,rectangle
square-529,square
square-3839,square
rectangle-2640,rectangle
triangle-1321,triangle
semi_circle-4428,semi_circle
semi_circle-3679,semi_circle
cross-471,cross
triangle-3080,triangle
square-3975,square
triangle-3875,triangle
semi_circle-3638,semi_circle
semi_circle-3974,semi_circle
star-1380,star
rectangle-2070,rectangle
rectangle-4255,rectangle
triangle-1047,triangle
trapezoid-1611,trapezoid
semi_circle-260,semi_circle
semi_circle-175,semi_circle
circle-1573,circle
square-5630,square
pentagon-1393,pentagon
triangle-3007,triangle
octagon-2102,octagon
quarter_circle-193,quarter_circle
star-3669,star
pentagon-5081,pentagon
square-3365,square
rectangle-4828,rectangle
rectangle-4804,rectangle
octagon-3553,octagon
square-1812,square
